season,team,g,win,loss,win_percent,pts,opp_pts,net_pts,off_rtg,def_rtg,net_rtg,pace
2021-22,South Carolina,37,35,2,94.60%,70.9,50.7,20.2,103.5,74.1,29.4,68.2
2021-22,Stanford,36,32,4,88.90%,73.5,56.8,16.7,105.9,81.6,24.4,69.5
2021-22,UConn,36,30,6,83.30%,73.8,54.9,18.9,105.9,79.6,26.3,68.9
2021-22,Texas,36,29,7,80.60%,71.9,56.8,15.1,101.2,80.6,20.6,70
2021-22,Baylor,35,28,7,80.00%,76.5,60.2,16.3,106.9,84.1,22.8,71.3
2021-22,Tennessee,34,25,9,73.50%,70.1,61.1,9,95,83.7,11.2,72.8
2021-22,North Carolina,32,25,7,78.10%,73.1,55.8,17.3,99.5,76.3,23.2,73
2021-22,Notre Dame,33,24,9,72.70%,74.3,63.3,11,100.9,85.9,15,73.1
2021-22,Maryland,32,23,9,71.90%,78.8,67.2,11.6,108.3,92.5,15.8,72.4
2021-22,Old Dominion,33,23,10,69.70%,63.6,56.6,7,91.7,81.8,9.9,69.3
2021-22,Louisiana Tech,31,19,12,61.30%,65,60.8,4.2,94.1,87.8,6.4,68.7
2021-22,Purdue,32,17,15,53.10%,69.2,67.3,1.8,96.2,93.2,2.9,71.8
2021-22,Texas A&M,29,14,15,48.30%,69.3,67.4,1.9,95.5,92.7,2.8,71.2
2021-22,Southern California,28,12,16,42.90%,64.3,64.7,-0.4,91.4,91.8,-0.4,69.8
2021-22,Texas Tech,30,11,19,36.70%,65.8,68.1,-2.3,94,97.5,-3.5,70
